;timestamp;likes;retweets
0;02/01/2020 23:59;2;0
1;02/01/2020 23:59;0;0
2;02/01/2020 23:59;2;0
3;02/01/2020 23:59;1;0
4;02/01/2020 23:59;8;1
5;02/01/2020 23:59;0;0
6;02/01/2020 23:59;0;0
7;02/01/2020 23:59;0;0
8;02/01/2020 23:59;0;0
9;02/01/2020 23:59;0;0
10;02/01/2020 23:59;0;0
11;02/01/2020 23:59;2;0
12;02/01/2020 23:59;0;0
13;02/01/2020 23:59;0;0
14;02/01/2020 23:59;2;0
15;02/01/2020 23:59;0;0
16;02/01/2020 23:59;11;0
17;02/01/2020 23:58;0;0
18;02/01/2020 23:58;0;0
19;02/01/2020 23:58;1;0
20;02/01/2020 23:59;2;0
21;02/01/2020 23:59;0;0
22;02/01/2020 23:59;2;0
23;02/01/2020 23:59;1;0
24;02/01/2020 23:59;8;1
25;02/01/2020 23:59;0;0
26;02/01/2020 23:59;0;0
27;02/01/2020 23:59;0;0
28;02/01/2020 23:59;0;0
29;02/01/2020 23:59;0;0
30;02/01/2020 23:59;0;0
31;02/01/2020 23:59;2;0
32;02/01/2020 23:59;0;0
33;02/01/2020 23:59;0;0
34;02/01/2020 23:59;2;0
35;02/01/2020 23:59;0;0
36;02/01/2020 23:59;11;0
37;02/01/2020 23:58;0;0
38;02/01/2020 23:58;0;0
39;02/01/2020 23:58;1;0
40;02/01/2020 23:58;0;0
41;02/01/2020 23:58;0;0
42;02/01/2020 23:58;1;0
43;02/01/2020 23:58;0;0
44;02/01/2020 23:58;4;0
45;02/01/2020 23:58;0;0
46;02/01/2020 23:58;1;0
47;02/01/2020 23:58;0;1
48;02/01/2020 23:58;0;0
49;02/01/2020 23:58;0;0
50;02/01/2020 23:58;0;0
51;02/01/2020 23:58;0;0
52;02/01/2020 23:58;0;0
53;02/01/2020 23:58;0;0
54;02/01/2020 23:58;0;0
55;02/01/2020 23:58;1;0
56;02/01/2020 23:58;0;0
57;15/02/2020 23:59;0;1
58;15/02/2020 23:59;0;0
59;15/02/2020 23:59;1;0
60;15/02/2020 23:59;0;0
61;15/02/2020 23:59;1;1
62;15/02/2020 23:59;0;0
63;15/02/2020 23:59;0;0
64;15/02/2020 23:59;0;0
65;15/02/2020 23:59;0;0
66;15/02/2020 23:59;6;1
67;15/02/2020 23:59;4;1
68;15/02/2020 23:59;0;0
69;15/02/2020 23:59;1;0
70;15/02/2020 23:59;0;0
71;15/02/2020 23:59;0;0
