"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"Abdulkholik1970";"Abdul Kholik";"2169730963";"1221208331743662080";"/Abdulkholik1970/status/1221208331743662080";"2020-01-25 23:08:49";1579993729;"@cinggaro selamat pagi... Jakarta, apakah masih banjir...? pic.twitter.com/j71O2lqy64";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""631705596"" dir=""ltr"" href=""/cinggaro""><s>@</s><b>cinggaro</b></a> selamat pagi... <strong>Jakarta</strong>, apakah masih <strong>banjir</strong>...? <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/j71O2lqy64"">pic.twitter.com/j71O2lqy64</a></p>";"[]";"[]";True;"['https://pbs.twimg.com/media/EPKafmAVAAEBR1m.jpg']";"";0;0;0;False;False;"";"[]"
"AsepIra44314224";"liberalis anti radikalisme";"1110021010823114752";"1221206422039347201";"/AsepIra44314224/status/1221206422039347201";"2020-01-25 23:01:14";1579993274;"Dr dulu emang Jakarta kebanjiran tp hrs nya semakin berkurang BKN semakin bertambah. Ini dana penanggulangan banjir aja di potong ratusan milyar? Kmn lari nya itu uang?";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Dr dulu emang <strong>Jakarta</strong> kebanjiran tp hrs nya semakin berkurang BKN semakin bertambah. Ini dana penanggulangan <strong>banjir</strong> aja di potong ratusan milyar? Kmn lari nya itu uang?</p>";"[]";"[]";False;"[]";"";0;0;0;False;True;"1220541288874774528";"[{'screen_name': 'usmans90941888', 'user_id': '1010220840183476224'}, {'screen_name': 'ajurankaka', 'user_id': '774350738'}]"
"pldjml";"pil";"1048716689137852417";"1221202299906736129";"/pldjml/status/1221202299906736129";"2020-01-25 22:44:51";1579992291;"Januari belum selesai tapi dipikir-pikir mulai dari banjir jakarta, kebakaran hutan australia, lalu ditemukannya penyebaran virus corona :( 
Ya Allah semoga tahun menjadi tahun yg baik, semoga kita semua ada dalam lindunganNya.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Januari belum selesai tapi dipikir-pikir mulai dari <strong>banjir</strong> <strong>jakarta</strong>, kebakaran hutan australia, lalu ditemukannya penyebaran virus corona :( 
Ya Allah semoga tahun menjadi tahun yg baik, semoga kita semua ada dalam lindunganNya.</p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"bangbca";"ؘmarco";"928207009328984064";"1221200764845973505";"/bangbca/status/1221200764845973505";"2020-01-25 22:38:45";1579991925;"Itu airnya bukan air banjir jakarta :)";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Itu airnya bukan air <strong>banjir</strong> <strong>jakarta</strong> :)</p>";"[]";"[]";False;"[]";"";0;0;1;True;True;"1221093809490022400";"[{'screen_name': 'mercuryius', 'user_id': '998050151540256769'}]"
"kevinaraka";"Kevin Al Hasbi";"130484204";"1221198888255623168";"/kevinaraka/status/1221198888255623168";"2020-01-25 22:31:18";1579991478;"Ini bangun dari awal.
Jakarta dijaman dia sudah rame.
Belum lagi mental2 orang yg bermukim disana.
Ya orang kaya lo kaya gw ini yg bikin Jakarta macet.
Klo penataan terencana dan aturan tegas bisa jadi beneran bebas macet dan banjir.
Gitu aja kok repot.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Ini bangun dari awal.
<strong>Jakarta</strong> dijaman dia sudah rame.
Belum lagi mental2 orang yg bermukim disana.
Ya orang kaya lo kaya gw ini yg bikin <strong>Jakarta</strong> macet.
Klo penataan terencana dan aturan tegas bisa jadi beneran bebas macet dan <strong>banjir</strong>.
Gitu aja kok repot.</p>";"[]";"[]";False;"[]";"";0;0;0;False;True;"1220704702758678529";"[{'screen_name': 'zarazettirazr', 'user_id': '50682651'}]"
"temponewsroom";"Majalah Tempo";"88352716";"1221198561976758272";"/temponewsroom/status/1221198561976758272";"2020-01-25 22:30:00";1579991400;"DWS Banjir Jakarta https://majalah.tempo.co/read/159543/dws-banjir-jakarta?utm_source=twitter&utm_medium=heru&utm_campaign=heru …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">DWS <strong>Banjir</strong> <strong>Jakarta</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://majalah.tempo.co/read/159543/dws-banjir-jakarta?utm_source=twitter&amp;utm_medium=heru&amp;utm_campaign=heru"" dir=""ltr"" href=""https://t.co/o4vr9ehpol"" rel=""nofollow noopener"" target=""_blank"" title=""https://majalah.tempo.co/read/159543/dws-banjir-jakarta?utm_source=twitter&amp;utm_medium=heru&amp;utm_campaign=heru""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">majalah.tempo.co/read/159543/dw</span><span class=""invisible"">s-banjir-jakarta?utm_source=twitter&amp;utm_medium=heru&amp;utm_campaign=heru</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://majalah.tempo.co/read/159543/dws-banjir-jakarta?utm_source=twitter&utm_medium=heru&utm_campaign=heru']";"[]";False;"[]";"";9;1;2;True;False;"";"[]"
"GurahDKI";"GURAH HATI";"1032162296787689472";"1221197626705465344";"/GurahDKI/status/1221197626705465344";"2020-01-25 22:26:17";1579991177;"Yg ngeluh itu togog, si abu janda, si dewi yg bukan warga jakarta,terus si nganu yg juga bukan warga jakarta namun jadikan banjir ajang kampanye biar jd presiden. Pas dah jadi mah cuek aja.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Yg ngeluh itu togog, si abu janda, si dewi yg bukan warga <strong>jakarta</strong>,terus si nganu yg juga bukan warga <strong>jakarta</strong> namun jadikan <strong>banjir</strong> ajang kampanye biar jd presiden. Pas dah jadi mah cuek aja.</p>";"[]";"[]";False;"[]";"";0;0;1;True;True;"1220789080079781888";"[{'screen_name': 'ReiyaPutra', 'user_id': '1065662600'}, {'screen_name': 'Reiza_Patters', 'user_id': '30766806'}]"
"unknownimous645";"BukanNabi";"1214205037414510592";"1221192283736834048";"/unknownimous645/status/1221192283736834048";"2020-01-25 22:05:03";1579989903;"Happy New....
2020 jakarta banjir
2020 amerika ngancam iran
2020 Iran balas nyerang
2020 Kebakaran australia
2020 corona virus                                       Baru tgl 25 januari sdh sebanyak ini";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Happy New....
2020 <strong>jakarta</strong> <strong>banjir</strong>
2020 amerika ngancam iran
2020 Iran balas nyerang
2020 Kebakaran australia
2020 corona virus                                       Baru tgl 25 januari sdh sebanyak ini</p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"Ba_ntara";"Baqir Ba'bud";"893011929236619265";"1221190269095165952";"/Ba_ntara/status/1221190269095165952";"2020-01-25 21:57:03";1579989423;"Melihat kanal-kanal pengendali banjir Jakarta http://dlvr.it/RNlZcr pic.twitter.com/OedRUsedL1";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Melihat kanal-kanal pengendali <strong>banjir</strong> <strong>Jakarta</strong> <a class=""twitter-timeline-link"" data-expanded-url=""http://dlvr.it/RNlZcr"" dir=""ltr"" href=""https://t.co/KrfMa61isn"" rel=""nofollow noopener"" target=""_blank"" title=""http://dlvr.it/RNlZcr""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">dlvr.it/RNlZcr</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/OedRUsedL1"">pic.twitter.com/OedRUsedL1</a></p>";"['http://dlvr.it/RNlZcr']";"[]";True;"['https://pbs.twimg.com/media/EPKKE_qUcAAD6yf.jpg']";"";0;0;0;False;False;"";"[]"
"gacorboy";"gacorboy";"1157753106639179776";"1221186441121648640";"/gacorboy/status/1221186441121648640";"2020-01-25 21:41:50";1579988510;"Hati hati ya jakarta banjir lagi";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Hati hati ya <strong>jakarta</strong> <strong>banjir</strong> lagi</p>";"[]";"[]";False;"[]";"";0;0;0;False;True;"1221168372924051456";"[{'screen_name': 'AlterBase18Plus', 'user_id': '1163857362630762496'}]"
